NaamBibliotheek;Straatnaam;Huisnr;Postcode;Deelgemeente;Telefoonnr;latWGS84;loWGS84;Aangemaakt op
Lode Zielens;Westmeers;35;8000;Brugge-Centrum;050/334014;51.2032353808921;3.22003928438623;04/10/2016
Sint-Michiels;Rijselstraat;98;8200;Sint-Michiels;050/727030;51.1882004220431;3.21078129660261;04/10/2016
Lissewege;Oude Pastoriestraat;5;8380;Lissewege;050/550171;51.2940642141271;3.19983771204385;04/10/2016
Sint-Andries;Gistelse Steenweg;524;8200;Sint-Andries;050/727050;51.1975221360612;3.18120475817193;04/10/2016
De Dijk;Blankenbergse Steenweg;221;8000;Sint-Pieters;050/446686;51.2288663690563;3.20517041930265;04/10/2016
De Schorre;Westkapelse Steenweg;58;8380;Dudzele;050/815696;51.2757792257903;3.22873386210702;04/10/2016
Sint-Thomas;Brieversweg;334;8310;Sint-Kruis;050/356390;51.2125172944899;3.28191253097748;04/10/2016
Daverlo;Dries;2;8310;Assebroek;050/831683;51.1935399510971;3.24800666311843;04/10/2016
De Zorge;Moerkerkse Steenweg;190;8310;Sint-Kruis;050/833760;51.2143471142415;3.24923573843303;04/10/2016
De Arend;Arendstraat;36;8000;Koolkerke;050/334757;51.242153938097;3.24635640450493;04/10/2016
De Biekorf;Kuipersstraat;3;8000;Brugge-Centrum;050/472400;51.2099329882302;3.22272852272307;04/10/2016
De Garve;Pannebekestraat;33;8000;Sint-Pieters;050/333295;51.2272290785911;3.2324913874791;04/10/2016
J.F. Willems;Marktplein;12;8380;Zeebrugge;050/799940;51.3313092792393;3.21080170892088;04/10/2016
