datum;uur;Dampoort sas fiets;Dampoort sas motor;Dampoort potterie fiets;Dampoort potterie motor;Kruispoort fiets;Kruispoort motor;Gentpoort fiets;Katelijnepoort fiets;Katelijne motor;Oostmeers fiets;oostmeers motor;Putje  fiets;Putje motor;Zuidzandstr fiets;zuidzandstr motor;Speelm fi;Artoistr  fi;Kleine Hoefijzerlaan fi;Neststr fi;Neststr M;Korte Lane fi;Korte Lane mo;Schouwvegers fi;P Damiaan F;Roompotstr fiets;Roompot  motor;Beenhouwer fiets;Gieterijstraat fi;Gieterrijstraat mo;Ezelstr  fiets;Ezelstr  motor;Biezenstraat fi;Blokstr fi;Elf julistr fi;Elf Julistr mo;Vlamingdam fi;St Claradr  fiets;St Claradr motor;Walwein fiets;Walwein motor;totaal;latWGS84;loWGS84;Aangemaakt op
20111011;7u30;12;18;24;52;52;91;90;20;57;10;22;11;2;59;45;5;2;0;0;0;0;2;0;10;0;1;27;0;25;27;76;0;0;3;2;0;1;33;8;29;816;;;08/07/2016
20111011;7u45;85;86;33;51;131;108;145;136;136;33;43;17;1;139;73;17;39;2;3;0;1;6;0;23;0;0;48;1;39;57;78;0;1;0;6;3;4;46;19;41;1651;;;08/07/2016
20111011;8u00;155;89;56;90;259;151;272;276;141;98;27;46;0;335;83;40;82;0;2;0;0;3;2;71;0;1;79;5;52;186;149;0;2;3;4;15;9;28;67;63;2941;;;08/07/2016
20111011;8u15;63;124;22;65;156;157;209;165;171;50;34;36;2;169;87;36;12;2;1;0;0;9;0;80;0;0;46;1;51;66;112;2;2;4;8;11;12;18;40;71;2094;;;08/07/2016
20111011;7u30 - 8u15;315;317;135;258;598;507;716;597;505;191;126;110;5;702;288;98;135;4;6;0;1;20;2;184;0;2;200;7;167;336;415;2;5;10;20;29;26;125;134;204;7502;;;08/07/2016
20111013;7u30;18;41;25;35;62;86;92;65;86;16;26;5;3;54;45;6;6;0;0;2;1;7;0;14;0;1;27;1;19;21;56;0;0;1;3;2;3;30;8;31;898;;;08/07/2016
20111013;7u45;97;93;35;47;141;115;138;99;130;35;29;23;1;132;69;13;40;1;0;1;2;5;0;29;0;1;36;1;33;65;81;0;0;2;4;4;2;56;21;40;1621;;;08/07/2016
20111013;8u00;172;82;46;68;213;136;270;302;147;99;39;25;0;309;83;36;132;2;0;0;2;1;0;58;0;0;98;9;37;181;146;1;1;4;8;14;7;21;63;66;2878;;;08/07/2016
20111013;8u15;47;83;31;68;206;163;204;135;179;40;43;45;5;201;97;31;10;2;0;1;0;4;0;85;0;0;43;2;56;98;110;1;2;6;11;10;25;27;30;50;2151;;;08/07/2016
20111013;7u30 - 8u15;334;299;137;218;622;500;704;601;542;190;137;98;9;696;294;86;188;5;0;4;5;17;0;186;36;2;204;13;145;365;393;2;3;13;26;30;37;134;122;187;7584;;;08/07/2016
20121011;7u30;19;56;9;37;36;84;62;45;87;3;28;2;2;35;57;4;1;3;0;0;0;5;0;2;1;0;31;1;17;12;64;1;0;0;2;5;2;35;6;38;792;;;08/07/2016
20121011;7u45;48;107;21;61;107;66;123;98;130;6;24;11;2;112;65;9;24;2;0;0;1;7;0;10;9;0;24;2;38;43;99;0;0;6;0;2;2;52;17;49;1377;;;08/07/2016
20121011;8u00;110;97;28;70;158;105;186;181;129;60;37;30;4;228;64;50;93;0;0;0;1;1;1;20;36;3;72;6;58;136;136;0;0;4;8;3;5;37;43;73;2273;;;08/07/2016
20121011;8u15;41;82;25;70;114;128;141;126;168;35;46;29;4;165;97;27;15;1;0;0;4;6;0;30;37;0;33;3;67;82;125;0;1;7;9;3;15;32;20;75;1863;;;08/07/2016
20121011;7u30 - 8u15;218;342;83;238;415;383;512;450;514;104;135;72;12;540;283;90;133;6;0;0;6;19;1;62;83;3;160;12;180;273;424;1;1;17;19;13;24;156;86;235;6305;;;08/07/2016
20121013;7u30;26;63;6;29;59;84;81;42;72;3;21;5;1;36;64;5;4;3;0;0;0;5;0;2;0;0;27;1;19;12;67;1;0;1;2;2;4;38;5;24;814;;;08/07/2016
20121013;7u45;52;116;20;65;114;103;167;128;122;16;25;10;2;110;63;11;23;2;0;0;1;7;0;25;2;1;36;3;31;35;97;0;0;0;1;7;2;50;29;44;1520;;;08/07/2016
20121013;8u00;121;109;38;64;172;122;236;185;192;38;43;35;5;227;86;29;115;0;0;0;1;1;1;29;0;1;81;6;48;134;111;0;0;7;14;7;3;24;45;69;2399;;;08/07/2016
20121013;8u15;40;83;19;56;175;181;120;104;133;30;14;32;2;173;108;37;10;1;0;0;4;6;0;89;3;1;24;8;50;72;129;0;1;6;18;15;8;28;19;62;1861;;;08/07/2016
20121013;7u30 - 8u15;239;371;83;214;520;490;604;459;519;87;103;82;10;546;321;82;152;6;0;0;6;19;1;145;0;3;168;18;148;253;404;1;1;14;35;31;17;140;98;199;6589;;;08/07/2016
20131022;7u30;37;78;8;0;66;71;78;115;63;14;33;11;0;48;56;12;0;1;0;0;1;6;0;12;0;0;11;0;30;27;74;0;0;2;4;4;5;38;6;25;936;;;08/07/2016
20131022;7u45;116;127;0;0;129;85;154;217;75;30;32;12;1;127;63;21;0;0;0;1;0;6;0;36;0;0;39;2;34;56;114;1;0;3;6;9;0;38;23;51;1608;;;08/07/2016
20131022;8u00;173;165;20;0;210;129;244;307;110;51;22;48;2;275;78;15;0;1;0;0;4;7;0;101;0;2;79;6;55;127;143;4;0;7;8;12;1;17;43;48;2514;;;08/07/2016
20131022;8u15;78;125;26;0;152;109;166;268;121;71;45;21;1;185;107;11;0;2;0;1;3;8;0;62;0;3;27;9;55;99;130;0;0;8;4;6;9;36;43;63;2054;;;08/07/2016
20131022;7u30 - 8u15;404;495;54;0;557;394;642;907;369;166;132;92;4;635;304;59;0;4;0;2;8;27;0;211;0;5;156;17;174;309;461;5;0;20;22;31;15;129;115;187;7112;;;08/07/2016
20131024;7u30;35;67;7;0;60;67;78;56;22;13;36;10;0;51;59;6;0;1;0;0;1;6;0;9;0;0;7;2;38;17;57;0;0;0;5;6;2;37;2;22;779;;;08/07/2016
20131024;7u45;73;97;17;0;101;115;151;243;89;40;26;8;1;113;82;47;0;0;0;1;0;10;0;34;0;0;34;2;34;45;112;0;0;2;4;8;1;40;12;37;1579;;;08/07/2016
20131024;8u00;120;101;32;0;222;135;274;357;133;68;33;36;2;303;89;148;0;1;0;0;1;6;0;84;0;2;101;3;43;122;137;4;0;4;7;8;0;28;45;66;2715;;;08/07/2016
20131024;8u15;189;128;35;0;140;124;168;285;141;53;44;24;1;159;117;25;0;2;0;1;1;8;0;76;0;1;26;3;44;119;146;2;0;9;11;12;8;17;28;36;2183;;;08/07/2016
20131024;7u30 - 8u15;417;393;91;0;523;441;671;941;385;174;139;78;4;626;347;226;0;4;0;2;3;30;0;203;0;3;168;10;159;303;452;6;0;15;27;34;11;122;87;161;7256;;;08/07/2016
20141007;7u30;WERKEN;WERKEN;13;38;80;53;67;63;71;40;20;5;2;60;55;14;0;2;0;0;0;4;0;15;0;0;12;3;37;7;72;0;0;2;1;3;3;42;13;13;810;;;08/07/2016
20141007;7u45;WERKEN;WERKEN;21;56;193;118;92;110;102;29;25;26;2;155;55;62;0;2;0;0;0;4;0;17;2;0;42;3;38;63;78;0;0;3;4;9;2;31;54;54;1452;;;08/07/2016
20141007;8u00;WERKEN;WERKEN;37;73;189;92;158;251;137;65;24;37;1;270;69;134;0;0;0;0;1;6;0;69;6;0;73;3;51;134;113;0;3;4;5;15;0;31;21;21;2093;;;08/07/2016
20141007;8u15;WERKEN;WERKEN;27;65;115;126;182;107;123;56;20;32;1;235;92;40;0;0;0;0;4;12;0;64;2;0;49;6;50;88;101;1;4;7;4;22;23;29;21;21;1729;;;08/07/2016
20141007;7u30 - 8u15;0;0;98;232;577;389;499;531;433;190;89;100;6;720;271;250;0;4;0;0;5;26;0;165;10;0;176;15;176;292;364;1;7;16;14;49;28;133;109;109;6084;;;08/07/2016
20141009;7u30;131;81;3;6;62;53;49;68;68;27;23;2;3;39;51;11;0;1;1;0;1;3;1;17;2;1;12;1;24;17;56;1;0;1;1;11;1;36;5;5;875;;;08/07/2016
20141009;7u45;194;84;13;40;148;72;84;114;112;15;36;7;1;103;69;37;0;0;0;0;0;7;1;24;2;0;33;3;46;45;80;0;2;0;2;52;2;37;25;25;1515;;;08/07/2016
20141009;8u00;213;87;42;56;169;112;179;165;166;55;25;27;2;205;84;151;0;0;0;0;0;7;4;69;0;1;89;5;57;127;101;1;0;2;3;66;3;31;50;50;2404;;;08/07/2016
20141009;8u15;113;71;19;70;169;160;93;129;160;51;22;24;5;166;85;22;0;0;0;0;2;5;1;63;0;0;33;1;52;94;109;0;2;6;4;40;15;28;39;39;1892;;;08/07/2016
20141009;7u30 - 8u15;651;323;77;172;548;397;405;476;506;148;106;60;11;513;289;221;0;1;1;0;3;22;7;173;4;2;167;10;179;283;346;2;4;9;10;169;21;132;119;119;6686;;;08/07/2016
20151013;7u30;30;65;20;25;64;80;74;41;74;18;21;26;14;47;44;5;0;0;0;1;2;3;WERKEN;9;1;2;11;4;25;21;53;1;0;0;1;26;4;44;10;27;893;;;08/07/2016
20151013;7u45;64;103;20;44;105;69;153;120;125;26;26;48;33;98;62;35;0;0;0;0;1;6;WERKEN;15;0;0;39;4;25;52;82;0;0;4;6;52;0;44;12;36;1509;;;08/07/2016
20151013;8u00;119;99;25;41;177;116;318;276;158;78;45;88;36;216;56;81;0;2;1;1;1;0;WERKEN;77;7;2;92;5;60;134;98;0;2;5;4;64;3;28;38;37;2590;;;08/07/2016
20151013;8u15;46;101;28;55;128;94;176;120;160;43;42;42;32;228;92;75;0;0;0;1;0;0;WERKEN;56;0;1;37;10;75;79;137;0;3;3;7;57;48;37;53;38;2104;;;08/07/2016
20151013;7u30 - 8u15;259;368;93;165;474;359;721;557;517;165;134;204;115;589;254;196;0;2;1;3;4;9;0;157;8;5;179;23;185;286;370;1;5;12;18;199;55;153;113;138;7096;;;08/07/2016
20151015;7u30;28;57;17;19;43;68;70;44;84;15;15;24;23;41;46;2;0;0;1;0;0;5;WERKEN;9;1;0;12;1;29;20;50;0;0;0;1;33;5;43;1;21;828;;;08/07/2016
20151015;7u45;86;83;18;38;120;91;165;111;123;23;23;35;21;91;66;32;0;0;0;0;3;6;WERKEN;15;0;0;43;0;25;59;102;0;1;3;0;38;4;38;16;25;1504;;;08/07/2016
20151015;8u00;116;102;26;55;189;134;327;265;153;36;36;79;33;266;66;73;0;2;0;0;6;5;WERKEN;81;7;0;83;3;41;128;105;1;1;9;3;16;3;43;42;52;2587;;;08/07/2016
20151015;8u15;68;91;23;64;125;151;157;123;125;45;45;59;22;210;105;58;0;0;0;0;2;5;WERKEN;59;0;0;46;10;55;80;116;0;2;6;4;10;51;32;40;57;2046;;;08/07/2016
20151015;7u30 - 8u15;298;333;84;176;477;444;719;543;485;119;119;197;99;608;283;165;0;2;1;0;11;21;0;164;8;0;184;14;150;287;373;1;4;18;8;97;63;156;99;155;6965;;;08/07/2016
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08/07/2016
